layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
6,ekman_basic_emotions,-0.017687122243527916,0.011518650739328607,0.001257047266369247,-0.016289729469098686,,0.9994343392075778
6,plutchik_wheel,0.006894752315083772,0.007141541562886229,-0.000556117641422824,0.003542590099738937,,0.9994343392075778
6,go_emotions,0.026016914382567227,0.003403801913482808,3.90325397618437e-05,0.008214716797186945,0.018776081273551726,0.9994343392075778
7,ekman_basic_emotions,-0.009794564559970133,0.01393106367567408,0.0024978932673042726,-0.009033018808460788,,0.9995560611527188
7,plutchik_wheel,0.015031984828497743,0.009171915674262206,-0.0006988734688200058,0.01043237622352553,,0.9995560611527188
7,go_emotions,0.03104562511129089,0.003480998898075408,5.2854459399682316e-05,0.012856457015088483,0.02048867761886576,0.9995560611527188
8,ekman_basic_emotions,-0.006821325737295994,0.012439122579191938,0.00021265605104530362,-0.006963990265118878,,0.9997918084572202
8,plutchik_wheel,0.018361013560701137,0.007932403723423045,0.0010786526050349642,0.013175556593590258,,0.9997918084572202
8,go_emotions,0.03339458544877784,0.0038638527287834868,-0.00013558823256662995,0.012867328713039784,0.020847686432577082,0.9997918084572202
9,ekman_basic_emotions,-0.01954684858165705,0.011604521196530024,-0.001264589723692654,-0.01718496053766509,,0.9997966396335436
9,plutchik_wheel,0.011931259784485981,0.008572031862397083,0.0002219110368137083,0.008248280391977923,,0.9997966396335436
9,go_emotions,0.03501200392072538,0.004628109788191515,-0.0005032998470629934,0.01442111259880517,0.02414964386000484,0.9997966396335436
10,ekman_basic_emotions,-0.02366813287988785,0.013459116510809409,-0.0003543724889240928,-0.020099750972603126,,0.9999101306968688
10,plutchik_wheel,0.010187994514506957,0.008524285668002084,-0.0008255090642899025,0.008063960560280976,,0.9999101306968688
10,go_emotions,0.03507464300821278,0.0039077264807174635,0.00028081692431899724,0.01638275734732969,0.02047582434816446,0.9999101306968688
11,ekman_basic_emotions,-0.009757440674651638,0.015533750313072095,0.00030422122019580655,-0.008551363292778873,,0.999925071711215
11,plutchik_wheel,0.013332779566749258,0.008799491711433304,0.0015500953092461845,0.010147712390438112,,0.999925071711215
11,go_emotions,0.04193470768455079,0.0036124909781838125,-9.594438508182403e-05,0.018668343572025178,0.02772549514966935,0.999925071711215
12,ekman_basic_emotions,0.013449316713608252,0.0156265297351072,-0.0007595063473008204,0.013285410113480329,,0.9999296612934263
12,plutchik_wheel,0.027281169479362422,0.008584549042358834,-0.000663635930131683,0.023105966325145673,,0.9999296612934263
12,go_emotions,0.04221782061921999,0.00428915204818043,-0.00022241329394637942,0.022039779666338025,0.025632172628904604,0.9999296612934263
13,ekman_basic_emotions,0.013659064675610883,0.017907804540444668,0.0025258589265075545,0.0119808190274582,,0.9999542154510286
13,plutchik_wheel,0.02676368232514229,0.011470651984301024,-0.0015849383180345,0.020499884439789708,,0.9999542154510286
13,go_emotions,0.05053626003190763,0.004883005788181324,0.00041913634014050725,0.02264530365500709,0.031094189395761588,0.9999542154510286
14,ekman_basic_emotions,0.012705068052617521,0.01587730730763219,-0.001229563882756168,0.008078333104567752,,0.9999697243960379
14,plutchik_wheel,0.021431298972634114,0.010667891987816211,0.000731915221134449,0.012328779544552259,,0.9999697243960379
14,go_emotions,0.04866150783853617,0.004709208753137729,0.0005738649425027345,0.015460416720879716,0.03284837191598071,0.9999697243960379
15,ekman_basic_emotions,0.02452106032467632,0.012843257968175505,-0.0010346802459057075,0.01984840302929445,,0.9999721806916649
15,plutchik_wheel,0.017065838145711984,0.01183127546243486,0.00122936666245288,0.011143797655436655,,0.9999721806916649
15,go_emotions,0.04937599985404856,0.004555404477492852,-0.00037128631372370367,0.018058673477615684,0.032628918742487516,0.9999721806916649
16,ekman_basic_emotions,0.021900137239972136,0.016945374345489116,0.0004976544073123062,0.018562243227268734,,0.9999787072008927
16,plutchik_wheel,0.019765884032916636,0.010687281968132172,-0.0007902195007774937,0.0140570676245435,,0.9999787072008927
16,go_emotions,0.05073631428701703,0.00542561647013019,-8.27424451934847e-05,0.020364955450960055,0.036022010531740895,0.9999787072008927
17,ekman_basic_emotions,0.038347058923112215,0.013607268126906122,-0.0002097164644170224,0.03154191183711967,,0.9999832279903587
17,plutchik_wheel,0.034370768050939804,0.010471192687135257,0.0004722957230623331,0.023825420419489686,,0.9999832279903587
17,go_emotions,0.06057552855179,0.004487336053403134,0.0003201250324633814,0.023099879424449216,0.03482678548772801,0.9999832279903587
18,ekman_basic_emotions,0.04252426989879808,0.0132423349753941,-0.004864807723737367,0.03493042296442185,,0.9999831391220977
18,plutchik_wheel,0.037975467952893284,0.00867107276264524,-0.0011365811442963258,0.026821806790694184,,0.9999831391220977
18,go_emotions,0.06241254985131567,0.0050420501425650155,0.0003126748914867687,0.024079855426021243,0.03492377241671547,0.9999831391220977
19,ekman_basic_emotions,0.04975685889412685,0.0144265472522316,-0.000599702999722304,0.04016436951631534,,0.999986237079829
19,plutchik_wheel,0.049355816683538,0.012315226235202474,0.0008551812678846521,0.03509846358587723,,0.999986237079829
19,go_emotions,0.06814363575351927,0.005762556333689855,-0.00039097279668546945,0.026024945252779753,0.03642510734891482,0.999986237079829
20,ekman_basic_emotions,0.05029200103133438,0.01511281146477022,0.0026964620397331353,0.04151582167009459,,0.9999878695577259
20,plutchik_wheel,0.04685799386473701,0.011859861665755025,0.0004870917595153826,0.03382669052014323,,0.9999878695577259
20,go_emotions,0.07030520995499151,0.004596343622973038,-0.0005578582614872462,0.027638223753894842,0.03691333977925928,0.9999878695577259
21,ekman_basic_emotions,0.05330576675403807,0.015559122708011327,0.0006377764428125071,0.04420885047326207,,0.9999884209919153
21,plutchik_wheel,0.05229274486383693,0.013082421025419929,-0.00189483107585304,0.03803965735653582,,0.9999884209919153
21,go_emotions,0.07161672209439557,0.005355642765846982,-8.986751145887739e-05,0.027326388565071174,0.03810737274040027,0.9999884209919153
22,ekman_basic_emotions,0.05509915047130399,0.012954118552033678,0.0032438800695877607,0.04535213216045306,,0.9999879817342103
22,plutchik_wheel,0.0552570251200592,0.010863702696423547,0.0014678604029516717,0.038716109506546414,,0.9999879817342103
22,go_emotions,0.07265017206718649,0.005737557411080216,-0.0003340980530459705,0.026200971638646334,0.03863037561596893,0.9999879817342103
23,ekman_basic_emotions,0.0855099426716548,0.016571562698558636,-6.549539977221492e-05,0.07096859310247729,,0.9999908363228084
23,plutchik_wheel,0.059627664091133806,0.011891218158967792,-0.0009818908650077423,0.042051447532120256,,0.9999908363228084
23,go_emotions,0.07476236362289063,0.006180376117049171,-0.0002873268099166398,0.02777883188541494,0.03406657838179985,0.9999908363228084
24,ekman_basic_emotions,0.04122748194256141,0.016508978169516214,-0.0004827980160886582,0.03430341242739192,,0.9999924075342106
24,plutchik_wheel,0.04574605704123247,0.011979178841467743,-0.0003902095218411425,0.032942855199150925,,0.9999924075342106
24,go_emotions,0.06913101433534995,0.005306476427709773,0.0005187598255483761,0.025604934026053544,0.03801034381730156,0.9999924075342106
25,ekman_basic_emotions,0.06635982439057488,0.012686078139755655,0.001741024574715604,0.054594505622875336,,0.9999907652163127
25,plutchik_wheel,0.05318009897953049,0.010499436715323576,0.0012616872646352825,0.037564043248867196,,0.9999907652163127
25,go_emotions,0.07207823624368703,0.005094815503348283,0.00032186569626352655,0.026842189345527682,0.03649564489981862,0.9999907652163127
26,ekman_basic_emotions,0.054273664650250214,0.014354703805195036,-0.003360305768073044,0.04412147759304042,,0.9999915818797217
26,plutchik_wheel,0.04752892691669456,0.010714459571855675,0.001167154973339291,0.03325232200125429,,0.9999915818797217
26,go_emotions,0.07107378418120164,0.0051443076787228365,0.00041451207309265077,0.02606781621589577,0.03796400510605407,0.9999915818797217
27,ekman_basic_emotions,0.04470891580271576,0.01324242210534931,0.0009013453550388707,0.036842591230109654,,0.9999915305268862
27,plutchik_wheel,0.04144936626092785,0.010547698738087703,-0.00014317799982923433,0.02937017781540076,,0.9999915305268862
27,go_emotions,0.0677880650325712,0.004739745964272259,0.00039229908354472683,0.02615502348326924,0.03648617032411808,0.9999915305268862
