layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
21,plutchik_wheel,0.12600784219075817,0.020977117434999654,-0.0010163179993069227,0.1313810219572521,,0.9999982331002581
21,go_emotions,0.0819465237325181,0.015342205431718393,0.00013874393486085795,0.09852334328290063,0.09443889013123702,0.9999982331002581
22,ekman_basic_emotions,0.0481960228519438,0.016756197539418725,-0.0021586907008760894,0.05410661770878301,,0.9999990310989588
22,plutchik_wheel,0.12749060835512224,0.02156779961255406,3.5779779899656064e-05,0.1293844720025622,,0.9999990310989588
22,go_emotions,0.08283453703413347,0.015335048845273666,0.00020545083530024613,0.08807498088364189,0.08353638341881373,0.9999990310989588
23,ekman_basic_emotions,0.053180845489772866,0.016316997476497157,0.000849598293136576,0.06033912183713791,,0.9999991689488238
23,plutchik_wheel,0.13012190741318846,0.02100623504204215,-0.0009154503483146686,0.1325372635370204,,0.9999991689488238
23,go_emotions,0.08494327309020352,0.014872443693108396,-0.0002531499471307053,0.0924803939366221,0.08650922420571211,0.9999991689488238
24,ekman_basic_emotions,0.04842579849835903,0.01876540959937949,-0.002657270535777584,0.05207485491742461,,0.999999440155903
24,plutchik_wheel,0.13168535143613624,0.019983434713172224,0.003518539023134977,0.131963260317707,,0.999999440155903
24,go_emotions,0.08457725551190572,0.012073038212155707,0.0010196505226336317,0.08947829571332538,0.07894396192536542,0.999999440155903
25,ekman_basic_emotions,0.05179597051728912,0.0182146046663321,-0.0012034637730448032,0.05735605330740099,,0.9999994473993218
25,plutchik_wheel,0.1292098051998214,0.022599730190744908,0.0012279000367928523,0.13038712848812867,,0.9999994473993218
25,go_emotions,0.08473268759382498,0.017039645611955603,0.002636601260087047,0.09093329896680194,0.07992330032156982,0.9999994473993218
26,ekman_basic_emotions,0.05045809792337193,0.01994969307803094,-0.001922317686719119,0.05535951809342632,,0.9999995709713241
26,plutchik_wheel,0.12864582111514716,0.021536827470988115,0.002805720544208508,0.12905648730088065,,0.9999995709713241
26,go_emotions,0.07946615188947408,0.01629507226195673,-0.0019229468092480523,0.08524999959368525,0.07345310266982716,0.9999995709713241
27,ekman_basic_emotions,0.046623989333129195,0.018663529173110892,0.0021689627841604674,0.05234568847840551,,0.9999996274996641
27,plutchik_wheel,0.12591086538806892,0.02056708697750893,0.0010882223903753944,0.1258416781670123,,0.9999996274996641
27,go_emotions,0.0784580283750374,0.012088780046247376,-0.0017915145256223411,0.08420590188400859,0.07294172629068175,0.9999996274996641
28,ekman_basic_emotions,0.04930534275665864,0.019180355511552165,-0.0034055955403602643,0.053237440701005,,0.9999996735457516
28,plutchik_wheel,0.13228799130740654,0.02069187402749897,0.0030015619869410114,0.13112850928726666,,0.9999996735457516
28,go_emotions,0.07863579999777068,0.014839182964559827,0.0009068934749391882,0.08212468322850035,0.07023324831708945,0.9999996735457516
29,ekman_basic_emotions,0.04731240209939549,0.017730155402223176,-0.0027020900728339015,0.0510776890685605,,0.9999997338929612
29,plutchik_wheel,0.13152761305692814,0.02349961647196267,0.0027103318035810527,0.13124058248217682,,0.9999997338929612
29,go_emotions,0.07939300616447771,0.016960544702249083,-0.0003092384513164683,0.08191373279988133,0.06932323696187911,0.9999997338929612
30,ekman_basic_emotions,0.04974622334942705,0.021639631121693547,0.00045775943410633304,0.05354662640676024,,0.9999998015803325
30,plutchik_wheel,0.1304256137505913,0.020030377429401513,0.001859340673020645,0.13038312645832134,,0.9999998015803325
30,go_emotions,0.08179197625424832,0.01667883207258819,-0.0020230203029707504,0.08412187430246655,0.0726110854276067,0.9999998015803325
31,ekman_basic_emotions,0.046494848859762135,0.013731192050516023,0.0012825151869587503,0.05664862053683906,,0.9999919939262171
31,plutchik_wheel,0.09627331938065783,0.020265241772994012,0.0024033296841213313,0.10453419195625706,,0.9999919939262171
31,go_emotions,0.0776912209440945,0.011828202066560057,-7.805051672906173e-05,0.0994605759360531,0.11029333938994991,0.9999919939262171
