taxonomy,layer,norm_f1_mean,norm_f1_std,norm_f1_p2_5,norm_f1_p5,norm_f1_p16,norm_f1_p25,norm_f1_p75,norm_f1_p84,norm_f1_p95,norm_f1_p97_5
go_emotions,17,0.19282050762565506,0.010110756652678292,0.17377449997054473,0.17695893865046095,0.18283546209057847,0.1858557968739382,0.19951555566825085,0.20287534639650603,0.20988358773237867,0.21321426652499387
go_emotions,18,0.1799833769073796,0.00908652166159621,0.16307814464877912,0.16563872343690783,0.17092733232087784,0.17367305798413596,0.18581089867909828,0.18908670678933492,0.19540407196890364,0.1987270165234529
go_emotions,19,0.20381777418887956,0.010967938756295165,0.18327431208724956,0.18629181941612175,0.1929661085706093,0.19624541696902645,0.21102830675455997,0.2148208084258543,0.22240435377897957,0.2261463219272703
go_emotions,20,0.19971827887578295,0.010601700750728704,0.1799286164784035,0.18292143510613412,0.1892890028436924,0.19227269475101094,0.20668809729066412,0.21022967564458017,0.21781518746780415,0.22150286837647865
go_emotions,21,0.19330402290715012,0.00989394796562854,0.17461128280355626,0.17757319883224018,0.18360863430330876,0.18659677443211678,0.19961527029946002,0.20314613583634678,0.2103026793923852,0.21362333113459597
go_emotions,22,0.18882704052398178,0.010291476259735921,0.16972300943311364,0.17241659591047795,0.1786939074728128,0.1815751356868142,0.19564162246802763,0.19911978872887556,0.2062399718547851,0.20973292793186266
go_emotions,23,0.1859591589677805,0.010079419695988419,0.16699525092468948,0.16987766220296008,0.17595636545669557,0.179068055648281,0.19234759591125405,0.19574011158633103,0.20323192629227738,0.20666511278391633
go_emotions,24,0.19240569424360393,0.01062425476870467,0.17252128946787357,0.17557708150476137,0.18180109280218165,0.18511113257377007,0.19934012596632766,0.20288234954012221,0.21052991848567082,0.2141210060127147
go_emotions,25,0.19895122171373117,0.010663153867828732,0.1788784666907344,0.1821071508853787,0.18838975173179168,0.19163198917807467,0.20600117525002803,0.2093625466870551,0.2169325755300846,0.2211841418313636
go_emotions,26,0.18737781181191596,0.01063190783126825,0.16762381930899714,0.1704221512168189,0.1766845305466238,0.1799657043031977,0.1942725880828205,0.19805795054955413,0.20525592811793572,0.20905608779567753
go_emotions,27,0.1866289602715643,0.010602032878735486,0.1670743614842884,0.16990138558654827,0.17612643215011423,0.17931317141783742,0.19354804703932552,0.19708381103379113,0.20466706195317688,0.20868502175206446
go_emotions,28,0.17180068054652578,0.009647848939770963,0.153949339929435,0.1564659845509354,0.16217416020509012,0.16510794788943334,0.17794968709418363,0.18136553760451748,0.18828826845971577,0.19179618764140297
go_emotions,29,0.18143728902850054,0.010416036294885803,0.16209099206027155,0.16518426189241514,0.1711119986763611,0.17412322348899262,0.18824621551698234,0.19175252385481753,0.19899787485345427,0.20265457634816667
go_emotions,30,0.18543580981159982,0.010401073830916813,0.1661057917245472,0.16924030539330098,0.17499697842289208,0.17818179785515673,0.19230631494642203,0.19585482245435437,0.20321765577196962,0.20674975459770165
go_emotions,31,0.16313134760367534,0.008666558676898228,0.14709095960869167,0.14959701180402385,0.15441548377904998,0.15704582909598505,0.16888977814670134,0.17178607947092156,0.17785273256037865,0.1808332440052365
plutchik_wheel,0,3.854911777199252e-05,0.0005010515745663326,-0.0009260135164178572,-0.0007738545706767703,-0.0004701695029060901,-0.00031864250418698535,0.00038571682886924465,0.0005360608427738243,0.0008860580247797798,0.0010357126252546263
plutchik_wheel,1,0.13442522350192074,0.006948097650614786,0.12090865992266403,0.12311279224521669,0.12748022589490876,0.1297231682808326,0.13907746938804622,0.1413067237732738,0.14596325536996385,0.148168574108331
plutchik_wheel,2,0.1389109546619047,0.007205509066243065,0.12528167336942903,0.12740724132019396,0.13177950225585924,0.1340030863830493,0.1436487701764582,0.14606498880986082,0.15105920359206604,0.1535022281438222
plutchik_wheel,3,0.1438088206895455,0.007342800729527394,0.12976998508074564,0.1318611181137612,0.13644011836588574,0.13882424445371613,0.14864839072520725,0.15102457030181127,0.15602700175420559,0.1584662872072837
plutchik_wheel,4,0.15057743808774263,0.0078001236338528625,0.1358095860914574,0.1380944727540605,0.1426899866477104,0.14518972623341553,0.1557903268120639,0.15831604395592888,0.16360563896883065,0.1662010312790044
plutchik_wheel,5,0.16689228180418325,0.009105998033295546,0.14976923328700864,0.15240020936865076,0.15774950438052673,0.16051936109415155,0.17293095737399888,0.1760312887455241,0.18236371330504586,0.18534674442339272
plutchik_wheel,6,0.16839595941444427,0.008875307396514402,0.15174893523217292,0.15415638768772916,0.1594414422097131,0.16222523864462382,0.17431715458967378,0.17723214991223912,0.18328080955866793,0.18623781345543602
plutchik_wheel,7,0.1656911592293208,0.008462833406303582,0.14984801767540254,0.15220339887530326,0.15742769985788663,0.15997706202225992,0.17115564844151598,0.17411902613105626,0.1801361059214297,0.18307048836210865
plutchik_wheel,8,0.19266861084551395,0.009333932663751116,0.17470126278013942,0.17748290613504647,0.1833552607721202,0.18634904076133663,0.19881441503344288,0.20192601210300073,0.20821138785312573,0.2117110092472416
plutchik_wheel,9,0.1940635171054812,0.009334872546973431,0.17654264496947245,0.17928371627811418,0.18479535496334235,0.1877859185897488,0.20018790746243942,0.20324860592419366,0.20936915202757064,0.21235770424153794
plutchik_wheel,10,0.1879658652095663,0.009658034981246837,0.1696222992692134,0.17232085703905686,0.17833435396337274,0.1812875306091064,0.19440956329049527,0.19756109752747697,0.20408257252880915,0.20706213683837665
plutchik_wheel,11,0.24873123706952646,0.02169824003584143,0.2142160440190521,0.21799497916698554,0.22611068880566232,0.23155203420408121,0.26311303328669217,0.2709360459913088,0.28743904475218734,0.2950122485883737
