layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
6,ekman_basic_emotions,0.004459586263410374,0.01559983026730511,0.0003955327415868778,0.002781505974278634,,0.9994331195904738
6,plutchik_wheel,0.02850185317123585,0.015139704177833616,-1.7218862531938329e-06,0.02598200050201097,,0.9994331195904738
6,go_emotions,0.05288404621768973,0.012488854061659801,-0.004146985406158924,0.043401315236855906,0.04762816796812336,0.9994331195904738
7,ekman_basic_emotions,0.013273707316956958,0.01743634602232927,0.0006480778052520597,0.012396191280213771,,0.9995613869270682
7,plutchik_wheel,0.037241682746295315,0.016541924562337867,0.0030972570759711356,0.035277582074784736,,0.9995613869270682
7,go_emotions,0.05736360220418821,0.011195508282453285,0.003869261856909508,0.04902025318695537,0.0483919043342584,0.9995613869270682
8,ekman_basic_emotions,0.016097592217884718,0.013744115070637292,-0.002016386525709064,0.014398573857488814,,0.999791115919297
8,plutchik_wheel,0.041063292391659505,0.01645810018748317,-0.0027864097644553524,0.03903649833714142,,0.999791115919297
8,go_emotions,0.06458363705926776,0.012841649631456526,0.0005258501334302106,0.05516533947562461,0.054072644880355264,0.999791115919297
9,ekman_basic_emotions,0.015011268713106658,0.015667187052980456,-0.0008735628879804894,0.0140561971550934,,0.9997984813252332
9,plutchik_wheel,0.03597931908573311,0.016976397523730306,0.0012691140689309569,0.03425524124583951,,0.9997984813252332
9,go_emotions,0.06063144000357282,0.011893605967131257,0.0006220821049699628,0.05257409641622069,0.052420010486774346,0.9997984813252332
10,ekman_basic_emotions,0.01178243085263184,0.017698326563314163,-0.0009704421189392015,0.01157793559801052,,0.9999116233258664
10,plutchik_wheel,0.04434999219803211,0.01616783616745311,-0.00324987726111211,0.04272918698904929,,0.9999116233258664
10,go_emotions,0.06981709650208603,0.011788464605362599,-0.0017943169405436265,0.061347773705093915,0.058456135756230786,0.9999116233258664
11,ekman_basic_emotions,0.027211342977780696,0.016878785201336982,0.0020729761375684265,0.026451045052696277,,0.9999244191282698
11,plutchik_wheel,0.048670138284566934,0.02139822464518682,0.0005447112155690298,0.04717080699961853,,0.9999244191282698
11,go_emotions,0.07648441580263571,0.013019153057081822,-0.0017463752884818034,0.06705847091800003,0.06395514804433051,0.9999244191282698
12,ekman_basic_emotions,0.052452497032940686,0.019943835751977092,0.0048517632883619535,0.05168719610347627,,0.9999279761096445
12,plutchik_wheel,0.0647596515031952,0.016943036788998035,0.0027067187088048754,0.06368238338402436,,0.9999279761096445
12,go_emotions,0.08783288297989625,0.011862425676881009,-0.0010331040320856139,0.07869058646423062,0.06732234518574404,0.9999279761096445
13,ekman_basic_emotions,0.06512136165652706,0.018241904770478722,-0.0018576154880388278,0.06324923023269062,,0.999953879463517
13,plutchik_wheel,0.06665434543532191,0.01587843822754556,-0.00024370213200782076,0.06506244286303518,,0.999953879463517
13,go_emotions,0.0933801422824215,0.011079052522304204,-0.000696134489499669,0.08192443139982884,0.06969726652265334,0.999953879463517
